function,method,dim,n_or_N,num_points,estimate,exact,abs_error,rel_error,time_sec,status
sum_of_squares,quasi_mc,1,50000,50000,0.3332913698844286,0.3333333333333333,4.196344890472492e-05,0.00012589034671417476,0.11542850000842009,ok
sum_of_squares,quasi_mc,2,50000,50000,0.6665769083848285,0.6666666666666666,8.975828183810375e-05,0.00013463742275715562,0.13872109999647364,ok
sum_of_squares,quasi_mc,3,50000,50000,0.9998846422371984,1.0,0.00011535776280158228,0.00011535776280158228,0.1845101000071736,ok
sum_of_squares,quasi_mc,5,50000,50000,1.666377183245021,1.6666666666666665,0.0002894834216455866,0.00017369005298735197,0.24558620000607334,ok
sum_of_squares,quasi_mc,8,50000,50000,2.666016971743773,2.6666666666666665,0.0006496949228935733,0.00024363559608509,0.3074396000010893,ok
sum_of_squares,quasi_mc,10,50000,50000,3.3324320086934454,3.333333333333333,0.0009013246398876795,0.0002703973919663039,0.33128640000359155,ok
sum_of_squares,mcmc,1,50000,50000,0.33746655336909664,0.3333333333333333,0.00413322003576333,0.01239966010728999,0.6490829999966081,ok
sum_of_squares,mcmc,2,50000,50000,0.6637222084791368,0.6666666666666666,0.0029444581875298637,0.0044166872812947955,0.5695165000070119,ok
sum_of_squares,mcmc,3,50000,50000,0.9965933910916055,1.0,0.003406608908394504,0.003406608908394504,0.8763618000084534,ok
sum_of_squares,mcmc,5,50000,50000,1.6673553959246898,1.6666666666666665,0.000688729258023324,0.0004132375548139944,0.4197532999969553,ok
sum_of_squares,mcmc,8,50000,50000,2.658605379192035,2.6666666666666665,0.008061287474631307,0.00302298280298674,0.35654140000406187,ok
sum_of_squares,mcmc,10,50000,50000,3.2879504581030954,3.333333333333333,0.04538287523023765,0.013614862569071297,0.33987539999361616,ok
